org_id,count
HOSTWAY-AS-KR,4151
SARENET,5705
GWSN-AS,4955
PEMDA-NAD-AS-ID,594
NEXTLAYER-AS,3000
Domainhizmetleri-Com,1325
US-BANCORP,1215
CAPL-AS-AP,1876
TTCLDATA,404
PARTNER-AS,9892
ACCIONA-AS,450
CDAGOVN,16639
persiantools,1802
INEONET-AS,792
DorukNet,8825
H88_Web_Hosting_DC-CLJ,20901
UGA-ASN,750
SIFY-AS-IN,5188
AICS,22926
RoEduNet,2681
ATHEER,2308
COOL-IDEAS,8605
TRK5-AS,178
PLINQ,68
TI-AS,1812
NS3-ASN,4490
THREE-AS-ID,375
XEPHION,373
GITN-PCN-AS-AP,2865
h2g,2318
NSHE-NEVADANET,798
BADOO-U,4546
NCIA-AS-KR,7601
BNTU-of-Management-AS,124
Silvertech,32
VzB-AU-AS,2032
ASKONTEL,382
GIPLNET-AP,575
CYBERNET-AP,1312
ASKONA-VEK,74
CH-POSTNETZ,1272
PSKZ-ALA,28065
IOMART-AS,57794
ITGATE,8843
ZA-1-Grid,10421
SKSATECH1-MY,1798
IP-TELECOM-AS,290
CYFRONET-AS,6407
EBONET,27
SuperServersDatacenter,2375
SG-8-TO-SG,26
IPG-AS-AP,2236
LIDERO,316
OPTIMUS-AS,10412
CESNET2,12213
KIT,604
LLCFlex-AS,183
Optitrust,1549
AS-LHD,132
TSITEC-AS,623
icisleri,1892
THAMMASAT-BORDER-AS,220
IDNIC-AMSCLOUD-AS-ID,4404
ASZZZING,936
WEBGLOBE-SK-AS,32437
DATASIEL_AS,750
DNA,5522
A1TELEKOM-AT,24136
RKOM,254
KINXIDC-AS-KR,10826
KNIPP-IRONDNS1-AS,8453
FUNETAS,7086
TRUEINTERNET-AS-AP,3833
CISP-AS,8
INETWIRE-AS,39119
WYNETWORK,13575
AS12625,380
QIHOO,983
LGNET-AS-KR,3531
ULAKNET,18376
MORENET,2482
CANONICAL-AS,6928
KPN,5979
TENET-1,3630
ITLDC-NL,15295
INTERWORKS-AS,189
CENTRALNIC-ANYCAST-B,7858
EDIC-AS-VN,266
AIMS-MY-NET,2665
ASN-WELCOMEITALIA,1744
CentralNic-Anycast-J,17776
ALGTEL-AS,4933
SNU-AS-KR,1289
HOSTPRO-AS,8540
IDNIC-DENEVA-AS-ID,7798
KEYWEB-AS,5927
TAM,142
TATACOMM-AS,10326
CLOUDTEC-AS,336
BCTBY-AS,6298
GAMEFORGE-AS,2640
fast2host,687
PLUSSERVER-ASN1,18391
Uteam-as,132
ANX-CUSTOMER,3918
RACKSRV,6662
PARVASYSTEM,5242
SUOMICOMMUNICATIONS,277
CCTLD-IT,237
INET-AS,5718
MTNNS-AS,2353
DIAMATRIX,12121
UKRTELNET,3102
SURFNET-NL,21273
FPT-AS-AP,3968
GANDI-AS-2,6144
DENIC-AS,531
K4X,3467
DATAFORCE-AS,1190
HyD,1774
GD-EMEA-DC-LD5,20711
EUSIP-RACK66,1084
INGOSSTRAKH-AS,94
STORMWALL-RUS,14485
EVANZOAS,9588
COMSATS,1650
MOBITEL-LK,293
CONVERGE-AS,1170
HOMEPL-AS,7008
DE-WEBGO,20883
ESHELTER,57
IXIR,1666
MAJORDOMO,21753
DNSIMPLE,42041
SuperNetwork,6004
JAYNET,2089
ASIMO-AS,988
Aspectra,173
SINGTEL-FIBRE,209
NO-OPERA,1929
QUALITYHOSTING-AS,487
FORSS,429
CentralNic-Anycast-K,15143
UMASSNET-AS1968,859
CHINATELECOM-JIANGSU-NANJING-IDC,1298
STARNET-AS,695
GSNET,11698
DB-APAC-RHO-AS,1194
NETLOJISTIK-AS,10215
SEZNAM-CZ,3510
GIL-AS-IN,1767
AS13032,505
AFiLIAS-SECONDARY-DNS,3455
MPT-AP,871
CONNETU,18
CITYTELECOM-AS,2992
GR-EDUNET,4779
TCI,8304
ADACOR-AS,1177
KPN-INTERNEDSERVICES,3836
TrueServer-AS,14959
AS48823,7219
CTCX,3042
GTC-MY-PIP-AS,2175
TUXIS,2208
CT-Guangzhou-IDC,4635
Westcall-AS,187
METRABYTE-TH,6584
DETIK-AS-ID,2974
EXBCOID-AS-AP,7364
LibertyGlobal,3773
Inleed,10880
mhost,1303
WEBINABOX-AS-AP,142
UNINET-AS-VRU-AP,34
ipfib-as,410
ASN-IDC,5445
OVERSITE-ASN,441
QIC,282
CLARAONLINE,1384
GENEANET,831
QX-AS-AP,232
CW,2924
VTB-BANK-AS,1442
IDNIC-UNESA-AS-ID,765
AS9081,434
PACIFICINTERNET-AS-AP,1215
WEDOS-GLOBAL,28729
ERX-CHULANET,780
JOGJACAMP-AS-ID,19363
CTIE,1584
NSK,5256
UTAH,2965
NEXYLAN,4463
APMI-AS-AP,2298
VOCUS-CLOUD-SERVICES-AS,640
MBBANK-AS-VN,198
Hostiran-Network,6752
Plusnet,690
IRPOST-TEH,462
A1-BY-AS,1003
CMPAKLIMITED-AS-AP,300
AVISNET,471
ISP-INASSET-AS,1283
Alapli-Teknoloji,124
GTT-BACKBONE,9219
ozyuni,84
ganesh-consulting,340
GCAP-AS,4377
WORLD4YOU,154
EthioNet-AS,2092
CNIX-AP,5359
Telepoint,14337
TWODEGREES-NZ-AS,546
ORDIPAT,2677
LINE,23072
HDiT-AS,182
H88_Web_Hosting_DC_FLO,14752
NiobeBilisimHizmetleri,5499
SK-TELEKOM,4474
RACKHOST-AS,3514
LINKdotNET-AS,1577
RCS-RDS,8198
SZERVERPLEXHU,1684
IPANDMORE,726
RSNET-AS,5276
ARTFILES-AS,6359
PSOE,54
SWISSGOV,2508
GREEN,893
RMH-14,10165
POLFIN-AS,1216
Datalogistics,2871
POLSKAPRESS-AS,1060
Redestel,1663
GMO-Z-COM-TH,22441
LEAR-AS-AP,62
quickhostuk,149
TILAA,16079
DTS-Systeme-Muenster,1046
Baidu,6258
EURO-INFORMATION,5472
TAL-DE,5026
Refinitiv-Slough-LO5-res-AS,504
ODPASN,2202
RASANA,8945
Proservice,2448
PLI-AS,1334
MEO-EMPRESAS,14327
BOSCH-NET-AP,2048
NGDC,267
BI-CDN-IX,9767
SERVERSTADIUM,10504
UNICOM-CN,4642
NEKONET,674
CCI-HK-AP,330
RLP-NET,1008
IDNIC-EGOV-AS-ID,1358
TORMAN,1106
BAHNHOF,4106
MK-NETZDIENSTE-AS,4969
AILEBAKANLIGI,156
IPSERVERONE-AS-AP,3893
ASSEFLOW,7160
GLOBAL-VILLAGE,3070
SONET-TW,7378
FSKNET-DK,2981
OMEGAPLUS-AS,44
MoldData-AS,1838
SYMPHONY-AP-TH,927
ASNET-AS-ID,555
ASSERVEREASY,8145
FNBCONNECT,1056
PPTIK-UGM-AS-ID,2618
CORE-BACKBONE,15145
GSNU-AS-KR,51
INTERNODE-AS,4243
ARCNET-NTTMSC-MY,679
TOTALENERGIES,3598
MivoCloud,1403
ASPEDIAAUSTRALIA-AS-AP,53
SEAP-AGE,1327
VodafoneTurkey,374
FORTHNET-GR,1786
WHG,1399
PHOENIXNAP-AS-SG1,1714
NHIS-AS-KR,528
IDSC,514
SAFENAMES-AS,12528
DADEHGOSTAR-AS,272
NAMESHIELDGRP,14803
XEON-BD,375
eximhost,6033
InacDE-Atos,978
CTSI,756
SEDO-AS,12830
UB-AS,3828
CNNIC-CRITICAL-AP,6946
SWIPNET,16502
CNU-AS-KR,372
HOSTCOIN-AS-IN-AP,1307
CITYUNI-AS-AP,1163
VDATA,478
VERSATEL,5072
PORSCHE-AS,2586
MTS,5428
BOKU,110
SANOMA-INDEP-MEDIA,1082
